show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,id,duration_int,duration_type
s1739,movie,parasite,nan,nan,south korea,2020-04-08,2019,r,132 min,"comedy, drama, horror","greed, class discrimination, and a mysterious interloper threaten the newly formed symbiotic relationship between the wealthy park family and the destitute kim clan.",7,hs1739,132,min
s1740,movie,the host,nan,nan,nan,2020-04-08,2006,r,120 min,"horror, science fiction, thriller",a south korean family must save a daughter from a horrible monster that emerged from the han river.,72,hs1740,120,min
s1741,movie,the queen of versailles,nan,nan,"united states, netherlands, united kingdom, denmark",2020-04-08,2012,pg,101 min,documentaries,the queen of versailles is a character-driven documentary about a billionaire family and their financial challenges in the wake of the economic crisis.,17,hs1741,101,min
s1742,movie,mls,nan,nan,nan,2020-04-06,2009,nan,nan,sports,nan,42,hs1742,nan,nan
s1743,tv show,future man,nan,nan,united states,2020-04-03,2017,tv-ma,3 season,"comedy, science fiction","future man stars josh hutcherson (the hunger games) as “josh futturman,” a janitor by day/gamer by night who is recruited by mysterious visitors to travel through time in order to prevent the extinction of humanity.",38,hs1743,3,season
s1744,movie,pooka lives!,nan,nan,nan,2020-04-03,2020,tv-ma,80 min,horror,"a group of thirty-something friends from high school create their own creepypasta about pooka for laughs, but are shocked when it becomes so viral on the internet that it actually manifests more murderous versions of the creature.",14,hs1744,80,min
s1745,tv show,siren,nan,nan,united states,2020-04-03,2018,tv-14,3 season,"drama, teen","the hour-long drama takes us inside bristol cove – a coastal town known for its legend of once being home to mermaids. when the arrival of a mysterious girl (played by eline powell) proves this folklore all too true, the battle between man and sea takes a very vicious turn as these predatory beings return to reclaim their right to the ocean.",55,hs1745,3,season
s1746,tv show,60 days in: narcoland,nan,nan,united states,2020-04-01,2019,tv-14,1 season,"crime, documentaries, reality","teams will go undercover in some of the most dangerous, drug-infested areas in the midwest. viewers return to indiana’s clark county jail, the home of “60 days in” seasons 1 & 2, and for the first time, the investigation also extends beyond jail walls, as a team of participants goes undercover on the streets, immersing themselves within the clark county and bullitt county, kentucky communities.",65,hs1746,1,season
s1747,tv show,90 day fiancé: happily ever after?,nan,nan,nan,2020-04-01,2016,tv-14,4 season,"documentaries, international, reality","90 day fiance: happily ever after? catches up with some of the most memorable couples from 90 day fiance as they now face the next chapter in their marriages. the frenzied countdown to the altar may be behind them, but the true drama is just starting to unfold as these newlyweds face life's challenges with someone they barely know.",60,hs1747,4,season
s1748,tv show,breaking amish,nan,nan,united states,2020-04-01,2012,tv-14,2 season,"documentaries, reality","breaking amish follows the lives of four amish and one mennonite as they pursue their dreams and leave their communities to experience the outside world in new york city. experiencing many firsts, they'll have to make the ultimate decision in the end – to come back home or leave for good.",54,hs1748,2,season
