show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,id,duration_int,duration_type
s1218,movie,star wars: the force awakens (episode vii),j.j. abrams,"harrison ford, mark hamill, carrie fisher, adam driver, daisy ridley, john boyega",united states,2019-11-12,2015,pg-13,139 min,"action-adventure, science fiction","rey, finn, han and chewbacca search for the one hope of restoring peace.",69,ds1218,139,min
s1219,movie,star wars: the phantom menace (episode i),george lucas,"liam neeson, ewan mcgregor, natalie portman, jake lloyd, pernilla august, frank oz",united states,2019-11-12,1999,pg,136 min,"action-adventure, science fiction","jedi discover anakin skywalker, a boy unusually strong in the force.",75,ds1219,136,min
s1220,movie,starstruck,michael grossman,"sterling knight, danielle campbell, maggie castle, brandon smith, chelsea staub, beth littleford",united states,2019-11-12,2010,tv-g,81 min,"comedy, coming of age, music",pop star christopher wilde must choose to follow his heart or embrace fame.,78,ds1220,81,min
s1221,movie,steamboat willie,"walt disney, ub iwerks",walt disney,united states,2019-11-12,1928,tv-y7,8 min,"animation, family, kids",watch mickey mouse's classic cartoon debut. see details for advisory.,62,ds1221,8,min
s1222,movie,stepsister from planet weird,steve boyum,"courtnee draper, tamara hope, lance guest, khrystyne haje, vanessa chester, myles jeffrey",united states,2019-11-12,2000,tv-g,86 min,"comedy, family, science fiction",a human and an alien team up to stop their parents from getting married.,32,ds1222,86,min
s1223,movie,stitch! the movie,"tony craig, bobs gannaway","daveigh chase, chris sanders, tia carrere, david stiers, kevin mcdonald, ving rhames",united states,2019-11-12,2003,g,62 min,"animation, comedy, family","stitch tries to save his intergalactic ""cousins"" from evil captain gantu.",5,ds1223,62,min
s1224,movie,stonehenge decoded: secrets revealed,christopher spencer,craig sechler,united kingdom,2019-11-12,2008,tv-pg,44 min,documentary,the discovery of a prehistoric site in ireland sheds new light on the mysteries of stonehenge,67,ds1224,44,min
s1225,movie,stuck in the suburbs,savage holland,"danielle panabaker, brenda song, amanda shaw, cici hedgepeth, jennie garland, ryan belleville",united states,2019-11-12,2004,tv-g,79 min,"comedy, coming of age, music",a bored suburban teen accidentally switches phones with a pop star.,2,ds1225,79,min
s1226,movie,sultan and the rock star,ed abroms,"timothy hutton, ken swofford, bruce glover, ned romero, richard paul, pat delany",united states,2019-11-12,1980,tv-pg,47 min,"action-adventure, animals & nature, family",a rock star befriends a gentle tiger being hunted for sport. see details for advisory.,71,ds1226,47,min
s1227,movie,super buddies,robert vince,"jeremy shinder, tenzing trainor, ty panitz, g. hannelius, cooper roth, colin hanks",united states,2019-11-12,2013,g,83 min,"action-adventure, comedy, family",a new breed of hero is born when disney's favorite extraordinary pups become super buddies!,45,ds1227,83,min
s1228,movie,swiss family robinson,edward ludwig,"thomas mitchell, edna best, freddie bartholomew, terry kilburn, tim holt, baby quillan",united states,2019-11-12,1940,pg,94 min,"action-adventure, family, survival",a violent storm shipwrecks the robinson family on a deserted island. see details for advisory.,11,ds1228,94,min
s1229,tv show,talespin,nan,"charlie adler, jim cummings, ed gilbert, chuck mccann, alan roberts, sally struthers",united states,2019-11-12,1990,tv-g,1 season,"action-adventure, animation, kids","follow baloo, his 12-year old navigator kit, the boss rebecca cunningham, and the rest of the crew.",78,ds1229,1,season
